"","subnum","condition","task","order","trial","interference","date","max","exponent","threshold","correct","rt1","rt2","r","addends","sum","digits","int_score","trial_time","dot","dob","age","gender","abacus_q","finger.counter","male","gender.12"
"5",2,"baseline","baseline",3,5,0,"20130708T171657",2.3,1.2,2,1,2.19,2.59,4,1,4,"1  1  2",-1,5.21,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"6",2,"baseline","baseline",3,6,0,"20130708T171657",3.74,1.2,3,1,2.44,2.88,9,1,9,"1  5  3",-1,5.69,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"7",2,"baseline","baseline",3,7,0,"20130708T171657",5.28,1.2,4,1,2.22,2.69,9,1,9,"1  6  2",-1,5.35,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"8",2,"baseline","baseline",3,8,0,"20130708T171657",6.9,1.2,5,1,3.13,3.88,11,1,11,"2  3  6",-1,6.74,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"9",2,"baseline","baseline",3,9,0,"20130708T171657",8.59,1.2,6,1,4.02,4.76,12,1,12,"8  3  1",-1,7.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"10",2,"baseline","baseline",3,10,0,"20130708T171657",10.3,1.2,7,1,4.11,4.76,26,1,26,"11  10   5",-1,7.85,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"11",2,"baseline","baseline",3,11,0,"20130708T171657",12.1,1.2,8,1,5.94,6.74,28,1,28,"11   6  11",-1,9.97,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"12",2,"baseline","baseline",3,12,0,"20130708T171657",14,1.2,9,1,1.95,2.68,24,1,24,"5  15   4",-1,6.09,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"13",2,"baseline","baseline",3,13,0,"20130708T171657",15.8,1.2,10,1,2.4,3.37,18,1,18,"1   1  16",-1,6.23,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"14",2,"baseline","baseline",3,14,0,"20130708T171657",17.8,1.2,11,0,19.06,19.97,32,1,41,"19   7  15",-1,23.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"15",2,"baseline","baseline",3,15,0,"20130708T171657",15.8,1.2,10,1,6.92,7.75,34,1,34,"11   7  16",-1,10.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"16",2,"baseline","baseline",3,16,0,"20130708T171657",17.8,1.2,11,1,3.58,4.46,34,1,34,"19   1  14",-1,7.45,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"17",2,"baseline","baseline",3,17,0,"20130708T171657",19.7,1.2,12,0,20.6,21.46,43,1,53,"19  13  21",-1,24.6,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"18",2,"baseline","baseline",3,18,0,"20130708T171657",17.8,1.2,11,1,10.02,11.33,36,1,36,"19   6  11",-1,14.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"19",2,"baseline","baseline",3,19,0,"20130708T171657",19.7,1.2,12,0,9.25,10.14,41,1,31,"5  21   5",-1,13.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"20",2,"baseline","baseline",3,20,0,"20130708T171657",17.8,1.2,11,0,17.15,18.28,49,1,47,"13  17  17",-1,21.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"21",2,"baseline","baseline",3,21,0,"20130708T171657",15.8,1.2,10,1,6.6,7.55,31,1,31,"15   2  14",-1,10.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"22",2,"baseline","baseline",3,22,0,"20130708T171657",17.8,1.2,11,1,10.7,11.73,37,1,37,"18   3  16",-1,14.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"23",2,"baseline","baseline",3,23,0,"20130708T171657",19.7,1.2,12,1,5.37,6.46,41,1,41,"15   5  21",-1,9.58,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"24",2,"baseline","baseline",3,24,0,"20130708T171657",21.7,1.2,13,0,11.61,12.62,40,1,50,"12  21  17",-1,15.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"25",2,"baseline","baseline",3,25,0,"20130708T171657",19.7,1.2,12,0,16.49,17.28,46,1,53,"18  19  16",-1,20.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"26",2,"baseline","baseline",3,26,0,"20130708T171657",17.8,1.2,11,1,2.9,3.97,26,1,26,"1   6  19",-1,6.88,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"27",2,"baseline","baseline",3,27,0,"20130708T171657",19.7,1.2,12,1,2.67,3.57,26,1,26,"6  19   1",-1,6.39,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
