"","subnum","condition","task","order","trial","interference","date","max","exponent","threshold","correct","rt1","rt2","r","addends","sum","digits","int_score","trial_time","dot","dob","age","gender","abacus_q","finger.counter","male","gender.12"
"28",2,"baseline","baseline",3,28,0,"20130708T171657",21.7,1.2,13,1,5.27,6.46,50,1,50,"5  23  22",-1,9.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"29",2,"baseline","baseline",3,29,0,"20130708T171657",23.7,1.2,14,1,3.6,4.77,30,1,30,"2   4  24",-1,7.68,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"30",2,"baseline","baseline",3,30,0,"20130708T171657",25.8,1.2,15,0,9.62,10.82,34,1,44,"26   5  13",-1,14,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"31",2,"baseline","baseline",3,31,0,"20130708T171657",23.7,1.2,14,1,7.03,8.14,47,1,47,"21   1  25",-1,11.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"32",2,"baseline","baseline",3,32,0,"20130708T171657",25.8,1.2,15,0,25.06,25.92,66,1,63,"26  13  24",-1,29.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"33",2,"baseline","baseline",3,33,0,"20130708T171657",23.7,1.2,14,1,17.06,17.99,42,1,42,"23  18   1",-1,20.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"41",2,"blindfold","blindfold",4,4,0,"20130708T172900",2.3,1.2,2,1,2.01,2.39,7,1,7,"2  2  3",-1,5.01,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"42",2,"blindfold","blindfold",4,5,0,"20130708T172900",3.74,1.2,3,1,3.27,4.17,11,1,11,"4  4  3",-1,7.01,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"43",2,"blindfold","blindfold",4,6,0,"20130708T172900",5.28,1.2,4,1,2.71,3.47,14,1,14,"4  6  4",-1,6.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"44",2,"blindfold","blindfold",4,7,0,"20130708T172900",6.9,1.2,5,1,3.84,4.66,13,1,13,"5  6  2",-1,7.37,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"45",2,"blindfold","blindfold",4,8,0,"20130708T172900",8.59,1.2,6,1,2.03,2.95,19,1,19,"4  10   5",-1,6.04,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"46",2,"blindfold","blindfold",4,9,0,"20130708T172900",10.3,1.2,7,1,3.59,4.68,20,1,20,"9  6  5",-1,8.26,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"47",2,"blindfold","blindfold",4,10,0,"20130708T172900",12.1,1.2,8,1,4.73,5.79,27,1,27,"12   4  11",-1,9.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"48",2,"blindfold","blindfold",4,11,0,"20130708T172900",14,1.2,9,1,9.12,9.9,32,1,32,"9  13  10",-1,14,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"49",2,"blindfold","blindfold",4,12,0,"20130708T172900",15.8,1.2,10,0,18.63,19.59,23,1,33,"15   1  17",-1,23.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"50",2,"blindfold","blindfold",4,13,0,"20130708T172900",14,1.2,9,1,12.54,13.4,29,1,29,"11   3  15",-1,16.6,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"51",2,"blindfold","blindfold",4,14,0,"20130708T172900",15.8,1.2,10,1,18.66,19.47,26,1,26,"17   8   1",-1,22.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"52",2,"blindfold","blindfold",4,15,0,"20130708T172900",17.8,1.2,11,1,16.13,16.79,44,1,44,"17  18   9",-1,19.8,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"53",2,"blindfold","blindfold",4,16,0,"20130708T172900",19.7,1.2,12,1,7.67,8.64,35,1,35,"19  10   6",-1,11.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"54",2,"blindfold","blindfold",4,17,0,"20130708T172900",21.7,1.2,13,1,2.81,3.76,41,1,41,"15  21   5",-1,6.91,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"55",2,"blindfold","blindfold",4,18,0,"20130708T172900",23.7,1.2,14,1,6.22,6.95,55,1,55,"23  20  12",-1,9.84,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"56",2,"blindfold","blindfold",4,19,0,"20130708T172900",25.8,1.2,15,1,7.55,8.75,58,1,58,"25  26   7",-1,11.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"57",2,"blindfold","blindfold",4,20,0,"20130708T172900",27.9,1.2,16,0,9.94,10.82,52,1,62,"14  27  21",-1,14,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"58",2,"blindfold","blindfold",4,21,0,"20130708T172900",25.8,1.2,15,1,3.27,3.97,48,1,48,"3  25  20",-1,6.88,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"59",2,"blindfold","blindfold",4,22,0,"20130708T172900",27.9,1.2,16,1,6.12,7.15,38,1,38,"27   9   2",-1,9.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"60",2,"blindfold","blindfold",4,23,0,"20130708T172900",30,1.2,17,0,13.27,14.11,62,1,52,"30   5  17",-1,17.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"61",2,"blindfold","blindfold",4,24,0,"20130708T172900",27.9,1.2,16,0,26.24,27.41,79,1,67,"26  28  13",-1,30.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"62",2,"blindfold","blindfold",4,25,0,"20130708T172900",25.8,1.2,15,1,14.1,15.01,73,1,73,"26  24  23",-1,18.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"63",2,"blindfold","blindfold",4,26,0,"20130708T172900",27.9,1.2,16,0,11.78,12.72,55,1,54,"10  29  15",-1,15.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"64",2,"blindfold","blindfold",4,27,0,"20130708T172900",25.8,1.2,15,0,23.12,24.24,49,1,46,"13  27   6",-1,27.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"65",2,"blindfold","blindfold",4,28,0,"20130708T172900",23.7,1.2,14,1,7.23,8.25,51,1,51,"22  25   4",-1,11.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"66",2,"blindfold","blindfold",4,29,0,"20130708T172900",25.8,1.2,15,1,12.8,13.7,43,1,43,"8  25  10",-1,16.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"67",2,"blindfold","blindfold",4,30,0,"20130708T172900",27.9,1.2,16,0,12.18,12.92,42,1,52,"7  27  18",-1,16,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"68",2,"blindfold","blindfold",4,31,0,"20130708T172900",25.8,1.2,15,1,8.71,9.73,41,1,41,"10  26   5",-1,12.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"69",2,"blindfold","blindfold",4,32,0,"20130708T172900",27.9,1.2,16,0,10.62,11.62,38,1,39,"28   7   4",-1,14.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"114",2,"stillhands","stillhands",1,4,0,"20130708T165218",2.3,1.2,2,1,3.83,4.38,7,1,7,"2  2  3",-1,7.13,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"115",2,"stillhands","stillhands",1,5,0,"20130708T165218",3.74,1.2,3,1,2.13,2.79,8,1,8,"4  2  2",-1,5.48,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"116",2,"stillhands","stillhands",1,6,0,"20130708T165218",5.28,1.2,4,1,1.92,2.78,11,1,11,"4  6  1",-1,5.68,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"117",2,"stillhands","stillhands",1,7,0,"20130708T165218",6.9,1.2,5,1,4.29,5.16,16,1,16,"8  2  6",-1,7.98,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"118",2,"stillhands","stillhands",1,8,0,"20130708T165218",8.59,1.2,6,1,5.24,6.06,18,1,18,"1  8  9",-1,8.87,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"119",2,"stillhands","stillhands",1,9,0,"20130708T165218",10.3,1.2,7,1,2.78,3.57,18,1,18,"10   4   4",-1,6.49,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"120",2,"stillhands","stillhands",1,10,0,"20130708T165218",12.1,1.2,8,1,6.18,7.04,24,1,24,"12   1  11",-1,10,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"121",2,"stillhands","stillhands",1,11,0,"20130708T165218",14,1.2,9,1,7.89,8.84,30,1,30,"10   6  14",-1,12.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"122",2,"stillhands","stillhands",1,12,0,"20130708T165218",15.8,1.2,10,1,6.99,7.75,32,1,32,"14   3  15",-1,11.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"123",2,"stillhands","stillhands",1,13,0,"20130708T165218",17.8,1.2,11,1,11.07,12,40,1,40,"6  18  16",-1,15.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"124",2,"stillhands","stillhands",1,14,0,"20130708T165218",19.7,1.2,12,0,16.74,17.78,42,1,43,"16   8  19",-1,20.8,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"125",2,"stillhands","stillhands",1,15,0,"20130708T165218",17.8,1.2,11,0,17.09,17.99,45,1,46,"18   9  19",-1,21,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"126",2,"stillhands","stillhands",1,16,0,"20130708T165218",15.8,1.2,10,1,6.59,7.54,28,1,28,"1  16  11",-1,10.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"127",2,"stillhands","stillhands",1,17,0,"20130708T165218",17.8,1.2,11,1,16.27,17.2,45,1,45,"18  16  11",-1,20.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"128",2,"stillhands","stillhands",1,18,0,"20130708T165218",19.7,1.2,12,1,3.83,4.76,45,1,45,"21  20   4",-1,7.85,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"129",2,"stillhands","stillhands",1,19,0,"20130708T165218",21.7,1.2,13,1,8.32,9.23,39,1,39,"6  23  10",-1,12.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"130",2,"stillhands","stillhands",1,20,0,"20130708T165218",23.7,1.2,14,0,30,30.1,-1,1,47,"16  25   6",-1,33.2,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"131",2,"stillhands","stillhands",1,21,0,"20130708T165218",21.7,1.2,13,0,30,30.1,-1,1,44,"13  23   8",-1,33.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"132",2,"stillhands","stillhands",1,22,0,"20130708T165218",19.7,1.2,12,1,9.37,10.23,43,1,43,"16  20   7",-1,13.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"133",2,"stillhands","stillhands",1,23,0,"20130708T165218",21.7,1.2,13,1,18.52,19.47,42,1,42,"21   6  15",-1,22.6,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"134",2,"stillhands","stillhands",1,24,0,"20130708T165218",23.7,1.2,14,1,4.76,5.76,35,1,35,"24   5   6",-1,8.85,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"135",2,"stillhands","stillhands",1,25,0,"20130708T165218",25.8,1.2,15,0,17.3,18.27,47,1,49,"6  27  16",-1,21.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"136",2,"stillhands","stillhands",1,26,0,"20130708T165218",23.7,1.2,14,0,19.9,20.85,43,1,58,"25  17  16",-1,24.1,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"137",2,"stillhands","stillhands",1,27,0,"20130708T165218",21.7,1.2,13,1,18.14,18.97,51,1,51,"21  10  20",-1,21.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"138",2,"stillhands","stillhands",1,28,0,"20130708T165218",23.7,1.2,14,0,18.31,19.27,59,1,54,"21   9  24",-1,22.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"139",2,"stillhands","stillhands",1,29,0,"20130708T165218",21.7,1.2,13,0,10.8,11.91,50,1,40,"23  10   7",-1,14.8,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"140",2,"stillhands","stillhands",1,30,0,"20130708T165218",19.7,1.2,12,0,6.24,7.17,25,1,35,"12   3  20",-1,10,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"141",2,"stillhands","stillhands",1,31,0,"20130708T165218",17.8,1.2,11,1,6.44,7.34,30,1,30,"7   5  18",-1,10.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"142",2,"stillhands","stillhands",1,32,0,"20130708T165218",19.7,1.2,12,1,10.18,11.13,49,1,49,"13  15  21",-1,14.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"75",2,"interference","interference",2,4,1,"20130708T170531",2.3,1.2,2,1,0.48,0.92,4,1,4,"1  1  2",94,7.45,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"76",2,"interference","interference",2,5,1,"20130708T170531",3.74,1.2,3,1,1.03,1.61,11,1,11,"3  5  3",98,8.32,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"77",2,"interference","interference",2,6,1,"20130708T170531",5.28,1.2,4,1,0.87,1.61,10,1,10,"1  5  4",98,8.28,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"78",2,"interference","interference",2,7,1,"20130708T170531",6.9,1.2,5,1,0.96,1.72,12,1,12,"4  2  6",100,8.29,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"79",2,"interference","interference",2,8,1,"20130708T170531",8.59,1.2,6,1,0.76,1.72,18,1,18,"8  2  8",101,8.13,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"80",2,"interference","interference",2,9,1,"20130708T170531",10.3,1.2,7,1,4.69,5.4,26,1,26,"8  9  9",101,12,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"81",2,"interference","interference",2,10,1,"20130708T170531",12.1,1.2,8,1,1.04,1.72,15,1,15,"11   2   2",98,8.24,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"82",2,"interference","interference",2,11,1,"20130708T170531",14,1.2,9,1,1.05,2.01,29,1,29,"11   4  14",98,8.76,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"83",2,"interference","interference",2,12,1,"20130708T170531",15.8,1.2,10,0,7.96,8.87,27,1,37,"17  12   8",100,15.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"84",2,"interference","interference",2,13,1,"20130708T170531",14,1.2,9,1,2,2.71,28,1,28,"14   2  12",98,9.41,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"85",2,"interference","interference",2,14,1,"20130708T170531",15.8,1.2,10,0,1.81,2.62,19,1,29,"8  16   5",99,9.34,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"86",2,"interference","interference",2,15,1,"20130708T170531",14,1.2,9,1,7.29,8.08,24,1,24,"5   4  15",101,14.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"87",2,"interference","interference",2,16,1,"20130708T170531",15.8,1.2,10,1,1.57,2.42,24,1,24,"5   3  16",100,9.12,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"88",2,"interference","interference",2,17,1,"20130708T170531",17.8,1.2,11,0,6.14,6.98,24,1,35,"14   4  17",89,13.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"89",2,"interference","interference",2,18,1,"20130708T170531",15.8,1.2,10,0,9.79,10.66,37,1,39,"8  14  17",99,17.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"90",2,"interference","interference",2,19,1,"20130708T170531",14,1.2,9,1,0.68,1.43,23,1,23,"6   4  13",100,8.21,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"91",2,"interference","interference",2,20,1,"20130708T170531",15.8,1.2,10,0,7.99,8.78,48,1,38,"13  15  10",98,15.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"92",2,"interference","interference",2,21,1,"20130708T170531",14,1.2,9,1,0.9,1.72,24,1,24,"14   9   1",97,8.57,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"93",2,"interference","interference",2,22,1,"20130708T170531",15.8,1.2,10,1,0.53,1.23,21,1,21,"3  15   3",98,8.03,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"94",2,"interference","interference",2,23,1,"20130708T170531",17.8,1.2,11,1,3.44,4.4,27,1,27,"2   6  19",97,11,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"95",2,"interference","interference",2,24,1,"20130708T170531",19.7,1.2,12,0,4.35,5.1,33,1,43,"21  18   4",93,12,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"96",2,"interference","interference",2,25,1,"20130708T170531",17.8,1.2,11,0,16.93,17.63,45,1,46,"9  18  19",98,24.4,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"97",2,"interference","interference",2,26,1,"20130708T170531",15.8,1.2,10,1,2.69,3.51,40,1,40,"15  17   8",98,10.5,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"98",2,"interference","interference",2,27,1,"20130708T170531",17.8,1.2,11,1,8.23,9.17,37,1,37,"13   5  19",96,16,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"99",2,"interference","interference",2,28,1,"20130708T170531",19.7,1.2,12,1,3.72,4.4,43,1,43,"19  19   5",97,11.3,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"100",2,"interference","interference",2,29,1,"20130708T170531",21.7,1.2,13,1,0.84,1.61,47,1,47,"23  22   2",94,8.55,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"101",2,"interference","interference",2,30,1,"20130708T170531",23.7,1.2,14,0,3.03,3.91,47,1,67,"24  21  22",95,10.9,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"102",2,"interference","interference",2,31,1,"20130708T170531",21.7,1.2,13,0,7.21,8.09,35,1,41,"14   4  23",100,15,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"103",2,"interference","interference",2,32,1,"20130708T170531",19.7,1.2,12,0,5.97,6.69,43,1,44,"17  19   8",97,13.7,"7/8/13","8/20/00",12.88158795,"F","",0,0,1
"147",3,"baseline","baseline",4,4,0,"20130709T103327",2.3,1.2,2,1,3.93,4.37,4,1,4,"1  2  1",-1,7.14,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"148",3,"baseline","baseline",4,5,0,"20130709T103327",3.74,1.2,3,0,7.62,8.65,14,1,13,"4  4  5",-1,11.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"149",3,"baseline","baseline",4,6,0,"20130709T103327",2.3,1.2,2,1,8.09,8.94,7,1,7,"2  3  2",-1,11.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"150",3,"baseline","baseline",4,7,0,"20130709T103327",3.74,1.2,3,1,6.98,7.84,12,1,12,"4  3  5",-1,10.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"151",3,"baseline","baseline",4,8,0,"20130709T103327",5.28,1.2,4,1,5.74,6.55,13,1,13,"5  6  2",-1,9.66,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"152",3,"baseline","baseline",4,9,0,"20130709T103327",6.9,1.2,5,1,6.86,7.75,15,1,15,"4  5  6",-1,11,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"153",3,"baseline","baseline",4,10,0,"20130709T103327",8.59,1.2,6,1,4.69,5.46,20,1,20,"4  9  7",-1,8.77,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"154",3,"baseline","baseline",4,11,0,"20130709T103327",10.3,1.2,7,1,3.27,4.17,18,1,18,"2  10   6",-1,6.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"155",3,"baseline","baseline",4,12,0,"20130709T103327",12.1,1.2,8,0,6,6.75,27,1,29,"13   8   8",-1,9.59,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"156",3,"baseline","baseline",4,13,0,"20130709T103327",10.3,1.2,7,1,9.12,10.02,22,1,22,"8  5  9",-1,12.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"157",3,"baseline","baseline",4,14,0,"20130709T103327",12.1,1.2,8,1,6.79,7.55,26,1,26,"13   7   6",-1,10.5,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"158",3,"baseline","baseline",4,15,0,"20130709T103327",14,1.2,9,0,17.99,19.16,39,1,29,"8  15   6",-1,22.1,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"159",3,"baseline","baseline",4,16,0,"20130709T103327",12.1,1.2,8,1,4.8,5.56,32,1,32,"7  12  13",-1,8.54,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"160",3,"baseline","baseline",4,17,0,"20130709T103327",14,1.2,9,1,11.88,12.71,25,1,25,"6   4  15",-1,15.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"161",3,"baseline","baseline",4,18,0,"20130709T103327",15.8,1.2,10,0,6.46,7.44,30,1,32,"1  16  15",-1,10.5,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"162",3,"baseline","baseline",4,19,0,"20130709T103327",14,1.2,9,1,5.89,6.56,34,1,34,"13  13   8",-1,9.46,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"163",3,"baseline","baseline",4,20,0,"20130709T103327",15.8,1.2,10,1,6.96,7.84,20,1,20,"15   3   2",-1,10.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"164",3,"baseline","baseline",4,21,0,"20130709T103327",17.8,1.2,11,0,17.06,18.09,54,1,53,"18  18  17",-1,21.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"165",3,"baseline","baseline",4,22,0,"20130709T103327",15.8,1.2,10,1,5.19,6.36,34,1,34,"4  15  15",-1,9.53,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"166",3,"baseline","baseline",4,23,0,"20130709T103327",17.8,1.2,11,1,9.73,10.71,30,1,30,"4  18   8",-1,13.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"167",3,"baseline","baseline",4,24,0,"20130709T103327",19.7,1.2,12,1,12.01,12.72,41,1,41,"19  18   4",-1,15.8,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"168",3,"baseline","baseline",4,25,0,"20130709T103327",21.7,1.2,13,1,14.38,15,40,1,40,"8  23   9",-1,17.9,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"169",3,"baseline","baseline",4,26,0,"20130709T103327",23.7,1.2,14,1,5.4,6.16,43,1,43,"23   6  14",-1,9.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"170",3,"baseline","baseline",4,27,0,"20130709T103327",25.8,1.2,15,1,11.53,12.22,61,1,61,"25  12  24",-1,15.3,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"171",3,"baseline","baseline",4,28,0,"20130709T103327",27.9,1.2,16,1,10.77,11.63,62,1,62,"29  10  23",-1,14.6,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
"172",3,"baseline","baseline",4,29,0,"20130709T103327",30,1.2,17,1,10.08,10.83,77,1,77,"30  27  20",-1,13.7,"7/9/13","6/5/01",12.09308693,"M","no",0,1,2
