"","subnum","condition","subnum","condition","task","order","trial","interference","date","max","exponent","threshold","correct","rt1","rt2","r","addends","sum","digits","int_score","trial_time","dot","dob","age","gender","abacus_q","finger.counter","male","gender.12"
"19","20","baseline",20,NA,NA,1,23,0,NA,36.0720512820513,1.2,19.3076923076923,0.948717948717949,3.61076923076923,4.39871794871795,73.1538461538462,1,73.9230769230769,NA,-1,11.125641025641,NA,NA,12.50376454,NA,NA,0,1,2
"20","21","baseline",21,NA,NA,3,23,0,NA,18.8976923076923,1.2,11.3076923076923,0.717948717948718,4.25846153846154,5.01076923076923,37.6410256410256,1,38.1794871794872,NA,-1,11.5715384615385,NA,NA,12.28473648,NA,NA,0,1,2
"21","23","baseline",23,NA,NA,4,21.5,0,NA,28.6891666666667,1.2,16.0555555555556,0.805555555555556,5.76083333333333,6.43916666666667,57.3888888888889,1,59.6111111111111,NA,-1,13.1830555555556,NA,NA,12.862423,NA,NA,0,1,2
"22","24","baseline",24,NA,NA,2,21.5,0,NA,24.3086111111111,1.2,14,0.805555555555556,5.28305555555556,6.11916666666667,48.1111111111111,1,50.0555555555556,NA,-1,12.7775,NA,NA,12.08761123,NA,NA,0,1,2
"23","25","baseline",25,NA,NA,2,13,0,NA,13.2526315789474,1.2,8.47368421052632,0.736842105263158,3.29210526315789,4.00631578947368,26.7368421052632,1,27.7894736842105,NA,-1,10.6063157894737,NA,NA,12.07665982,NA,NA,0,0,1
"24","26","baseline",26,NA,NA,2,21,0,NA,27.386,1.2,15.4571428571429,0.828571428571429,3.76857142857143,4.516,55.6857142857143,1,56.1714285714286,NA,-1,11.2328571428571,NA,NA,12.82135524,NA,NA,0,1,2
"25","27","baseline",27,NA,NA,2,17,0,NA,19.7555555555556,1.2,11.7407407407407,0.851851851851852,5.23851851851852,5.93185185185185,42.6666666666667,1,43.5925925925926,NA,-1,12.6022222222222,NA,NA,12.23545517,NA,NA,0,1,2
"26","28","baseline",28,NA,NA,2,17,0,NA,17.3818518518519,1.2,10.6296296296296,0.703703703703704,8.16777777777778,8.85555555555556,28.5925925925926,1,32.5925925925926,NA,-1,15.5255555555556,NA,NA,12.03832991,NA,NA,0,1,2
"27","29","baseline",29,NA,NA,1,20.5,0,NA,17.0032352941176,1.2,10.5,0.647058823529412,6.39617647058824,7.08470588235294,37.8823529411765,1,37.5882352941176,NA,-1,13.6332352941176,NA,NA,12.16974675,NA,NA,0,1,2
"28","30","baseline",30,NA,NA,3,20.5,0,NA,18.7944117647059,1.2,11.3823529411765,0.705882352941177,5.03970588235294,5.90970588235294,38,1,40.4705882352941,NA,-1,12.5597058823529,NA,NA,12.06023272,NA,NA,0,1,2
"30","32","baseline",32,NA,NA,2,20,0,NA,20.3457575757576,1.2,12.1212121212121,0.666666666666667,5.88939393939394,6.62272727272727,36.2727272727273,1,40.0909090909091,NA,-1,13.2987878787879,NA,NA,12.14510609,NA,NA,0,1,2
"31","33","baseline",33,NA,NA,3,20,0,NA,29.6336363636364,1.2,16.4242424242424,0.939393939393939,5.1969696969697,5.87969696969697,64.4848484848485,1,64.5151515151515,NA,-1,12.7166666666667,NA,NA,12.3340178,NA,NA,0,1,2
"32","2","blindfold",2,NA,NA,4,18,0,NA,19.5727586206897,1.2,11.7241379310345,0.724137931034483,9.68586206896552,10.5865517241379,38.7931034482759,1,38.9655172413793,NA,-1,13.6696551724138,NA,NA,12.88158795,NA,NA,0,0,1
"33","3","blindfold",3,NA,NA,3,18,0,NA,19.4658620689655,1.2,11.6551724137931,0.793103448275862,10.7006896551724,11.4651724137931,43.1379310344828,1,42.4137931034483,NA,-1,14.5031034482759,NA,NA,12.09308693,NA,NA,0,1,2
"34","4","blindfold",4,NA,NA,3,14.5,0,NA,19.2504545454545,1.2,11.5,0.863636363636364,14.0236363636364,14.6909090909091,37.1818181818182,1,41.1363636363636,NA,-1,17.74,NA,NA,12.20807666,NA,NA,0,0,1
"35","5","blindfold",5,NA,NA,4,20,0,NA,24.7745161290323,1.2,14.2258064516129,0.774193548387097,9.77612903225806,10.438064516129,47.741935483871,1,50.6129032258064,NA,-1,13.4358064516129,NA,NA,12.24640657,NA,NA,0,1,2
"38","8","blindfold",8,NA,NA,4,16,0,NA,17.6004,1.2,10.72,0.84,14.54,15.0136,33.6,1,37.4,NA,-1,17.8948,NA,NA,12.47364819,NA,NA,0,1,2
"40","10","blindfold",10,NA,NA,3,20.5,0,NA,23.9414705882353,1.2,13.8529411764706,0.764705882352941,8.26352941176471,8.88176470588235,46.8823529411765,1,50.1176470588235,NA,-1,11.8788235294118,NA,NA,12.87611225,NA,NA,0,0,1
"41","11","blindfold",11,NA,NA,4,10,0,NA,12.4546153846154,1.2,8,1,4.94769230769231,5.63307692307692,25.8461538461538,1,25.8461538461538,NA,-1,8.48538461538462,NA,NA,12.85147159,NA,NA,0,0,1
"43","13","blindfold",13,NA,NA,3,20,0,NA,16.0578787878788,1.2,9.93939393939394,0.757575757575758,5.13,5.81666666666667,34,1,33.1212121212121,NA,-1,8.74848484848485,NA,NA,12.31506849,NA,NA,0,0,1
"44","14","blindfold",14,NA,NA,3,17.5,0,NA,21.4896428571429,1.2,12.6428571428571,0.821428571428571,6.98142857142857,7.78357142857143,43.7857142857143,1,43.8571428571429,NA,-1,11.0857142857143,NA,NA,12.15068493,NA,NA,0,0,1
"48","18","blindfold",18,NA,NA,2,14.5,0,NA,14.2822727272727,1.2,9.04545454545454,0.772727272727273,14.2518181818182,14.9822727272727,28.3636363636364,1,32.2272727272727,NA,-1,21.6686363636364,NA,NA,12.24366872,NA,NA,0,1,2
"49","19","blindfold",19,NA,NA,1,19.5,0,NA,30.1034375,1.2,16.625,0.9375,3.6875,4.424375,58.84375,1,58.90625,NA,-1,11.1515625,NA,NA,12.74469541,NA,NA,0,1,2
"50","20","blindfold",20,NA,NA,2,23,0,NA,36.5284615384615,1.2,19.5128205128205,0.948717948717949,4.37666666666667,5.10307692307692,72.7948717948718,1,73.8205128205128,NA,-1,11.844358974359,NA,NA,12.50376454,NA,NA,0,1,2
"51","21","blindfold",21,NA,NA,4,23,0,NA,20.5205128205128,1.2,12.025641025641,0.794871794871795,4.64307692307692,5.31820512820513,39.2307692307692,1,39.7435897435897,NA,-1,11.8407692307692,NA,NA,12.28473648,NA,NA,0,1,2
"52","23","blindfold",23,NA,NA,1,21.5,0,NA,21.5416666666667,1.2,12.6666666666667,0.75,5.22222222222222,5.95694444444444,41.6111111111111,1,42.2222222222222,NA,-1,12.5175,NA,NA,12.862423,NA,NA,0,1,2
"53","24","blindfold",24,NA,NA,3,21.5,0,NA,27.5363888888889,1.2,15.4444444444444,0.833333333333333,4.73305555555556,5.535,56.1388888888889,1,57.4722222222222,NA,-1,12.2016666666667,NA,NA,12.08761123,NA,NA,0,1,2
"54","25","blindfold",25,NA,NA,1,14,0,NA,12.6631578947368,1.2,8.1578947368421,0.736842105263158,3.17526315789474,3.86263157894737,25.1578947368421,1,26.6842105263158,NA,-1,10.4221052631579,NA,NA,12.07665982,NA,NA,0,0,1
"55","26","blindfold",26,NA,NA,1,21,0,NA,28.9831428571429,1.2,16.1428571428571,0.885714285714286,2.90885714285714,3.70485714285714,55.2857142857143,1,55.1714285714286,NA,-1,10.3788571428571,NA,NA,12.82135524,NA,NA,0,1,2
"56","27","blindfold",27,NA,NA,1,17,0,NA,19.767037037037,1.2,11.8148148148148,0.814814814814815,7.00518518518519,7.65555555555556,41.4074074074074,1,43.4444444444444,NA,-1,14.3266666666667,NA,NA,12.23545517,NA,NA,0,1,2
"57","28","blindfold",28,NA,NA,4,17,0,NA,17.5781481481481,1.2,10.7037037037037,0.777777777777778,10.5040740740741,11.2281481481481,31.8888888888889,1,36.5555555555556,NA,-1,17.9111111111111,NA,NA,12.03832991,NA,NA,0,1,2
"58","29","blindfold",29,NA,NA,2,20.5,0,NA,18.7355882352941,1.2,11.3235294117647,0.735294117647059,5.80823529411765,6.59205882352941,35.1764705882353,1,38.4411764705882,NA,-1,13.1467647058824,NA,NA,12.16974675,NA,NA,0,1,2
"59","30","blindfold",30,NA,NA,4,20.5,0,NA,18.0708823529412,1.2,10.9705882352941,0.735294117647059,6.27588235294118,7.01705882352941,36.4705882352941,1,37.9411764705882,NA,-1,13.5944117647059,NA,NA,12.06023272,NA,NA,0,1,2
"61","32","blindfold",32,NA,NA,3,20,0,NA,18.2742424242424,1.2,10.9090909090909,0.727272727272727,5.25030303030303,5.95484848484849,34.9393939393939,1,38.2121212121212,NA,-1,12.7745454545455,NA,NA,12.14510609,NA,NA,0,1,2
"62","33","blindfold",33,NA,NA,1,20,0,NA,29.1912121212121,1.2,16.2424242424242,0.878787878787879,6.93363636363636,7.75,62.8787878787879,1,64,NA,-1,14.5915151515152,NA,NA,12.3340178,NA,NA,0,1,2
"63","2","interference",2,NA,NA,2,18,1,NA,14.7313793103448,1.2,9.31034482758621,0.655172413793103,3.92931034482759,4.71448275862069,28.3103448275862,1,30.4137931034483,NA,97.6551724137931,11.4862068965517,NA,NA,12.88158795,NA,NA,0,0,1
"64","3","interference",3,NA,NA,1,18,1,NA,16.2244827586207,1.2,10.0689655172414,0.689655172413793,2.66586206896552,3.4448275862069,34.2758620689655,1,32.2758620689655,NA,96.7931034482759,10.2110344827586,NA,NA,12.09308693,NA,NA,0,1,2
"65","4","interference",4,NA,NA,4,14.5,1,NA,17.9186363636364,1.2,10.8636363636364,0.818181818181818,12.8963636363636,13.6645454545455,38.6363636363636,1,37.3181818181818,NA,96.9090909090909,20.4122727272727,NA,NA,12.20807666,NA,NA,0,0,1
"66","5","interference",5,NA,NA,2,19,1,NA,24.1551612903226,1.2,13.9032258064516,0.838709677419355,9.00032258064516,9.82032258064516,50.4838709677419,1,50.3548387096774,NA,95.258064516129,12.4825806451613,NA,NA,12.24640657,NA,NA,0,1,2
"69","8","interference",8,NA,NA,3,16,1,NA,17.4404,1.2,10.64,0.84,9.8232,10.4632,32.2,1,35.96,NA,93.44,14.3212,NA,NA,12.47364819,NA,NA,0,1,2
"71","10","interference",10,NA,NA,2,20.5,1,NA,25.7444117647059,1.2,14.6764705882353,0.823529411764706,4.78088235294118,5.50676470588235,43.3529411764706,1,50.2352941176471,NA,89.9117647058823,9.80205882352941,NA,NA,12.87611225,NA,NA,0,0,1
"72","11","interference",11,NA,NA,2,11,1,NA,7.70846153846154,1.2,5.38461538461539,0.846153846153846,29.8130769230769,30.0692307692308,17.0769230769231,1,16.8461538461538,NA,97.6923076923077,32.5076923076923,NA,NA,12.85147159,NA,NA,0,0,1
"74","13","interference",13,NA,NA,4,20,1,NA,14.01,1.2,8.90909090909091,0.666666666666667,9.19575757575758,9.90060606060606,29.6969696969697,1,28.7575757575758,NA,88.4848484848485,12.5212121212121,NA,NA,12.31506849,NA,NA,0,0,1
"75","14","interference",14,NA,NA,2,17.5,1,NA,19.1032142857143,1.2,11.4285714285714,0.821428571428571,7.86714285714286,8.87392857142857,38.2142857142857,1,40.6785714285714,NA,94.5357142857143,12.1839285714286,NA,NA,12.15068493,NA,NA,0,0,1
"79","18","interference",18,NA,NA,4,14.5,1,NA,9.55772727272727,1.2,6.5,0.681818181818182,11.2409090909091,11.95,17.7727272727273,1,19.1818181818182,NA,76.5454545454545,16.1213636363636,NA,NA,12.24366872,NA,NA,0,1,2
"80","19","interference",19,NA,NA,2,19.5,1,NA,29.1534375,1.2,16.1875,0.90625,6.6778125,7.5078125,54.34375,1,55.03125,NA,97.03125,10.9846875,NA,NA,12.74469541,NA,NA,0,1,2
"81","20","interference",20,NA,NA,4,23,1,NA,38.5592307692308,1.2,20.3846153846154,0.974358974358974,6.46615384615385,7.66435897435897,74.974358974359,1,74.4615384615385,NA,88.3589743589744,11.1330769230769,NA,NA,12.50376454,NA,NA,0,1,2
"82","21","interference",21,NA,NA,1,23,1,NA,25.7464102564103,1.2,14.7435897435897,0.769230769230769,6.69641025641026,7.5174358974359,49.9487179487179,1,52.5128205128205,NA,94.9230769230769,10.9353846153846,NA,NA,12.28473648,NA,NA,0,1,2
"83","23","interference",23,NA,NA,3,21.5,1,NA,26.4836111111111,1.2,15.0555555555556,0.805555555555556,6.81472222222222,7.58083333333333,52.5277777777778,1,55.0833333333333,NA,89.9166666666667,10.9975,NA,NA,12.862423,NA,NA,0,1,2
"84","24","interference",24,NA,NA,1,21.5,1,NA,22.8697222222222,1.2,13.3333333333333,0.75,7.52138888888889,8.55777777777778,45.4166666666667,1,48.4722222222222,NA,98.5555555555556,12.0597222222222,NA,NA,12.08761123,NA,NA,0,1,2
"85","25","interference",25,NA,NA,3,15,1,NA,8.3978947368421,1.2,5.84210526315789,0.631578947368421,5.65157894736842,6.47210526315789,17.1578947368421,1,17.8421052631579,NA,96.2631578947368,9.79157894736842,NA,NA,12.07665982,NA,NA,0,0,1
"86","26","interference",26,NA,NA,3,21,1,NA,20.286,1.2,12.0285714285714,0.771428571428571,6.906,7.73971428571429,41.9142857142857,1,41.8571428571429,NA,88.6571428571429,11.1674285714286,NA,NA,12.82135524,NA,NA,0,1,2
"87","27","interference",27,NA,NA,4,17,1,NA,22.4448148148148,1.2,13.0740740740741,0.851851851851852,6.81037037037037,7.83444444444444,43.1111111111111,1,44.5925925925926,NA,98,11.2388888888889,NA,NA,12.23545517,NA,NA,0,1,2
"88","28","interference",28,NA,NA,3,17,1,NA,10.6418518518519,1.2,7,0.62962962962963,11.3755555555556,12.0681481481481,16.3703703703704,1,21.8148148148148,NA,90.3703703703704,16.1851851851852,NA,NA,12.03832991,NA,NA,0,1,2
"89","29","interference",29,NA,NA,4,20.5,1,NA,17.8738235294118,1.2,10.9117647058824,0.676470588235294,8.88558823529412,9.73852941176471,33.8235294117647,1,36.9117647058824,NA,93.5588235294118,13.1294117647059,NA,NA,12.16974675,NA,NA,0,1,2
"90","30","interference",30,NA,NA,1,20.5,1,NA,21.0382352941176,1.2,12.4411764705882,0.676470588235294,7.93852941176471,8.71411764705882,40.9705882352941,1,42.8235294117647,NA,93.2647058823529,12.4670588235294,NA,NA,12.06023272,NA,NA,0,1,2
"92","32","interference",32,NA,NA,1,20,1,NA,20.500303030303,1.2,12.1818181818182,0.757575757575758,10.3754545454545,11.0769696969697,37.2121212121212,1,43.1818181818182,NA,93.3636363636364,14.5221212121212,NA,NA,12.14510609,NA,NA,0,1,2
"93","33","interference",33,NA,NA,2,20,1,NA,27.4336363636364,1.2,15.4545454545455,0.818181818181818,8.79969696969697,9.69151515151515,55.030303030303,1,56.2121212121212,NA,97.6363636363636,13.2187878787879,NA,NA,12.3340178,NA,NA,0,1,2
"94","2","stillhands",2,NA,NA,1,18,0,NA,17.0210344827586,1.2,10.4827586206897,0.689655172413793,11.0731034482759,11.911724137931,31.7241379310345,1,35.4137931034483,NA,-1,14.921724137931,NA,NA,12.88158795,NA,NA,0,0,1
"95","3","stillhands",3,NA,NA,2,18,0,NA,20.5762068965517,1.2,12.2068965517241,0.758620689655172,9.30931034482759,10.1451724137931,41.448275862069,1,43.9655172413793,NA,-1,13.1827586206897,NA,NA,12.09308693,NA,NA,0,1,2
"96","4","stillhands",4,NA,NA,1,14.5,0,NA,12.7768181818182,1.2,8.22727272727273,0.727272727272727,12.6163636363636,13.2859090909091,25.1363636363636,1,27.7272727272727,NA,-1,16.3113636363636,NA,NA,12.20807666,NA,NA,0,0,1
"97","5","stillhands",5,NA,NA,3,19,0,NA,21.0254838709677,1.2,12.3548387096774,0.838709677419355,8.53354838709677,9.14903225806452,45.9032258064516,1,45.2903225806452,NA,-1,12.1522580645161,NA,NA,12.24640657,NA,NA,0,1,2
"100","8","stillhands",8,NA,NA,1,16,0,NA,18.3604,1.2,11.12,0.76,12.1368,12.76,28.28,1,38.44,NA,-1,15.6944,NA,NA,12.47364819,NA,NA,0,1,2
"102","10","stillhands",10,NA,NA,4,20.5,0,NA,30.2502941176471,1.2,16.7352941176471,0.852941176470588,7.10294117647059,7.66794117647059,53.2941176470588,1,59.4411764705882,NA,-1,10.6923529411765,NA,NA,12.87611225,NA,NA,0,0,1
"103","11","stillhands",11,NA,NA,3,11,0,NA,12.4546153846154,1.2,8,1,7.23538461538462,7.88307692307692,24.0769230769231,1,24.0769230769231,NA,-1,10.7061538461538,NA,NA,12.85147159,NA,NA,0,0,1
"105","13","stillhands",13,NA,NA,1,20,0,NA,11.9384848484848,1.2,7.81818181818182,0.666666666666667,3.98272727272727,4.6669696969697,22.7575757575758,1,23.7272727272727,NA,-1,7.59575757575758,NA,NA,12.31506849,NA,NA,0,0,1
"106","14","stillhands",14,NA,NA,4,17.5,0,NA,22.3896428571429,1.2,13.0714285714286,0.857142857142857,7.02857142857143,7.99821428571429,47.1071428571429,1,47.3214285714286,NA,-1,11.2953571428571,NA,NA,12.15068493,NA,NA,0,0,1
"110","18","stillhands",18,NA,NA,1,15.5,0,NA,12.705,1.2,8.22727272727273,0.681818181818182,7.86590909090909,8.64409090909091,25.3636363636364,1,25.8636363636364,NA,-1,15.3259090909091,NA,NA,12.24366872,NA,NA,0,1,2
"111","19","stillhands",19,NA,NA,3,19.5,0,NA,29.8159375,1.2,16.5,0.9375,3.7534375,4.6125,60.3125,1,60.1875,NA,-1,11.3521875,NA,NA,12.74469541,NA,NA,0,1,2
"112","20","stillhands",20,NA,NA,3,23,0,NA,34.7028205128205,1.2,18.7435897435897,0.897435897435897,3.98384615384615,4.78717948717949,66.2564102564103,1,68.974358974359,NA,-1,11.5194871794872,NA,NA,12.50376454,NA,NA,0,1,2
"113","21","stillhands",21,NA,NA,2,23,0,NA,28.2464102564103,1.2,15.8717948717949,0.846153846153846,4.49615384615385,5.21307692307692,57.2820512820513,1,57.8205128205128,NA,-1,11.8033333333333,NA,NA,12.28473648,NA,NA,0,1,2
"114","23","stillhands",23,NA,NA,2,21.5,0,NA,24.1919444444444,1.2,13.9444444444444,0.805555555555556,5.56944444444444,6.26527777777778,48.5555555555556,1,49.8611111111111,NA,-1,12.8294444444444,NA,NA,12.862423,NA,NA,0,1,2
"115","24","stillhands",24,NA,NA,4,21.5,0,NA,27.0947222222222,1.2,15.3333333333333,0.805555555555556,5.35805555555556,6.08611111111111,54.7222222222222,1,56.0555555555556,NA,-1,12.7616666666667,NA,NA,12.08761123,NA,NA,0,1,2
"116","25","stillhands",25,NA,NA,4,13,0,NA,14.6478947368421,1.2,9.21052631578947,0.789473684210526,5.54894736842105,6.23,28.4736842105263,1,30.4210526315789,NA,-1,12.8584210526316,NA,NA,12.07665982,NA,NA,0,0,1
"117","26","stillhands",26,NA,NA,4,21,0,NA,27.3888571428571,1.2,15.4571428571429,0.828571428571429,5.53657142857143,6.412,54.9428571428571,1,56,NA,-1,13.1337142857143,NA,NA,12.82135524,NA,NA,0,1,2
"118","27","stillhands",27,NA,NA,3,17,0,NA,22.63,1.2,13.1481481481481,0.925925925925926,5.66814814814815,6.39592592592593,44.5555555555556,1,45.5925925925926,NA,-1,13.057037037037,NA,NA,12.23545517,NA,NA,0,1,2
"119","28","stillhands",28,NA,NA,1,17,0,NA,19.7966666666667,1.2,11.8148148148148,0.777777777777778,9.46592592592593,10.1133333333333,32.7777777777778,1,38.6666666666667,NA,-1,16.7640740740741,NA,NA,12.03832991,NA,NA,0,1,2
"120","29","stillhands",29,NA,NA,3,20.5,0,NA,14.7620588235294,1.2,9.32352941176471,0.705882352941177,6.40647058823529,7.24764705882353,28.8235294117647,1,30.3235294117647,NA,-1,13.7817647058824,NA,NA,12.16974675,NA,NA,0,1,2
"121","30","stillhands",30,NA,NA,2,20.5,0,NA,24.1355882352941,1.2,13.9117647058824,0.764705882352941,6.26882352941176,7.09852941176471,51.4705882352941,1,53.8529411764706,NA,-1,13.7408823529412,NA,NA,12.06023272,NA,NA,0,1,2
"123","32","stillhands",32,NA,NA,4,20,0,NA,21.1972727272727,1.2,12.5454545454545,0.727272727272727,5.78969696969697,6.55333333333333,44.030303030303,1,42.969696969697,NA,-1,13.3966666666667,NA,NA,12.14510609,NA,NA,0,1,2
"124","33","stillhands",33,NA,NA,4,20,0,NA,23.9245454545455,1.2,13.7575757575758,0.848484848484849,6.8930303030303,7.68272727272727,48.7575757575758,1,48.3939393939394,NA,-1,14.4851515151515,NA,NA,12.3340178,NA,NA,0,1,2
