subnum,condition,order,zthresh,age
2,Baseline,3,-0.639778554599304,12.88158795
3,Baseline,4,-0.772665427805242,12.09308693
4,Baseline,2,-0.918136285216292,12.20807666
5,Baseline,1,0.856627660077287,12.24640657
8,Baseline,2,-0.188849098187132,12.47364819
10,Baseline,1,1.15126290559551,12.87611225
11,Baseline,1,-1.37065635723198,12.85147159
13,Baseline,2,-1.03978146586567,12.31506849
14,Baseline,1,0.326815249315363,12.15068493
18,Baseline,3,-0.421823948166809,12.24366872
19,Baseline,4,0.556203304254188,12.74469541
20,Baseline,1,2.26073300479964,12.50376454
21,Baseline,3,-0.308413210515251,12.28473648
23,Baseline,4,1.21633115124483,12.862423
24,Baseline,2,0.556203304254188,12.08761123
25,Baseline,2,-1.21853585764097,12.07665982
26,Baseline,2,1.02415493632941,12.82135524
27,Baseline,2,-0.169342617663458,12.23545517
28,Baseline,2,-0.526168480901635,12.03832991
29,Baseline,1,-0.567798164946079,12.16974675
30,Baseline,3,-0.284436450021633,12.06023272
32,Baseline,2,-0.0471567917667417,12.14510609
33,Baseline,3,1.33473246041021,12.3340178
2,Blindfold,4,-0.174674498378493,12.88158795
3,Blindfold,3,-0.19682231057949,12.09308693
4,Blindfold,3,-0.246654888031717,12.20807666
5,Blindfold,4,0.628719528073559,12.24640657
8,Blindfold,4,-0.497146644024919,12.47364819
10,Blindfold,3,0.508976351766785,12.87611225
11,Blindfold,4,-1.37065635723198,12.85147159
13,Blindfold,3,-0.747833032307161,12.31506849
14,Blindfold,3,0.120365999870397,12.15068493
18,Blindfold,2,-1.0349156586397,12.24366872
19,Blindfold,1,1.39920440615439,12.74469541
20,Blindfold,2,2.32660854878208,12.50376454
21,Blindfold,4,-0.0778488065767401,12.28473648
23,Blindfold,1,0.128012268368382,12.862423
24,Blindfold,3,1.02007692646381,12.08761123
25,Blindfold,1,-1.31994952403498,12.07665982
26,Blindfold,1,1.24436746907066,12.82135524
27,Blindfold,1,-0.145554226780904,12.23545517
28,Blindfold,4,-0.502380090019081,12.03832991
29,Blindfold,2,-0.303327231016607,12.16974675
30,Blindfold,4,-0.416671916986385,12.06023272
32,Blindfold,3,-0.436421369844752,12.14510609
33,Blindfold,1,1.2763427736985,12.3340178
2,Motor Interference,2,-0.949847925413164,12.88158795
3,Motor Interference,1,-0.706221991202263,12.09308693
4,Motor Interference,4,-0.451018791522663,12.20807666
5,Motor Interference,2,0.52512492261731,12.24640657
8,Motor Interference,3,-0.522838106178068,12.47364819
10,Motor Interference,2,0.773447285696258,12.87611225
11,Motor Interference,2,-2.21056954300801,12.85147159
13,Motor Interference,4,-1.07870792367347,12.31506849
14,Motor Interference,2,-0.269593693525609,12.15068493
18,Motor Interference,4,-1.85237127260353,12.24366872
19,Motor Interference,2,1.25870422250435,12.74469541
20,Motor Interference,4,2.60657961070743,12.50376454
21,Motor Interference,1,0.795002151190494,12.28473648
23,Motor Interference,3,0.895187874330473,12.862423
24,Motor Interference,1,0.342107786311269,12.08761123
25,Motor Interference,3,-2.06364974425771,12.07665982
26,Motor Interference,3,-0.0769077273769922,12.82135524
27,Motor Interference,4,0.258848418222379,12.23545517
28,Motor Interference,3,-1.69179963414635,12.03832991
29,Motor Interference,4,-0.435562697981327,12.16974675
30,Motor Interference,1,0.0555976078876709,12.06023272
32,Motor Interference,1,-0.0276935628628284,12.14510609
33,Motor Interference,2,1.02332079794782,12.3340178
2,Sit on Hands,1,-0.573335117996313,12.88158795
3,Sit on Hands,2,-0.0196398129715771,12.09308693
4,Sit on Hands,1,-1.29766924884236,12.20807666
5,Sit on Hands,3,0.027870816427328,12.24640657
8,Sit on Hands,1,-0.368689333259175,12.47364819
10,Sit on Hands,4,1.43462462051996,12.87611225
11,Sit on Hands,3,-1.37065635723198,12.85147159
13,Sit on Hands,1,-1.42904604394369,12.31506849
14,Sit on Hands,4,0.257998832833718,12.15068493
18,Sit on Hands,1,-1.29766924884236,12.24366872
19,Sit on Hands,3,1.35906149654009,12.74469541
20,Sit on Hands,3,2.07957525884794,12.50376454
21,Sit on Hands,2,1.1573176430939,12.28473648
23,Sit on Hands,2,0.538362011092264,12.862423
24,Sit on Hands,4,0.984394340139993,12.08761123
25,Sit on Hands,4,-0.981903969388284,12.07665982
26,Sit on Hands,4,1.02415493632941,12.82135524
27,Sit on Hands,3,0.282636809104901,12.23545517
28,Sit on Hands,1,-0.145554226780904,12.03832991
29,Sit on Hands,3,-0.945613784845327,12.16974675
30,Sit on Hands,2,0.527867132761759,12.06023272
32,Sit on Hands,4,0.0890858105605559,12.14510609
33,Sit on Hands,4,0.478350388638599,12.3340178
