subnum,birthdate,testing date,age,gender,condition,level
2033,,3/23/13,9.24,M,baseline,
2301,4/9/05,3/23/13,7.96,F,baseline,Advance
2302,3/5/05,3/23/13,8.05,M,baseline,Advance
2303,4/11/02,3/23/13,10.96,M,baseline,Advance
2304,9/3/01,3/23/13,11.56,M,baseline,Advance
2305,7/24/04,3/23/13,8.67,M,baseline,Advance
2309,7/6/04,3/23/13,8.72,M,baseline,Higher B
2312,11/12/98,3/23/13,14.37,M,baseline,
2313,9/8/00,3/23/13,12.55,F,baseline,
2314,1/9/00,3/23/13,13.21,F,baseline,
2317,4/12/02,3/23/13,10.95,F,baseline,Higher B
2318,6/19/01,3/23/13,11.77,M,baseline,Higher B
2319,10/16/99,3/23/13,13.44,M,baseline,Higher A
2320,12/2/01,3/23/13,11.31,M,baseline,Higher A
2322,4/24/00,3/23/13,12.92,F,baseline,Higher A
2324,3/21/01,3/23/13,12.01,M,baseline,Higher A
2326,1/13/03,3/23/13,10.2,M,baseline,Higher B
2328,1/20/02,3/23/13,11.18,M,baseline,Grand Level
2330,3/13/03,3/23/13,10.04,M,baseline,Higher A
2332,10/17/03,3/23/13,9.44,M,baseline,Higher A
2334,12/1/01,3/23/13,11.32,M,baseline,Higher B
2336,1/15/04,3/23/13,9.19,M,baseline,Higher B
2337,3/27/03,3/23/13,10,M,baseline,Higher B
2414,12/6/02,3/24/13,10.3,F,baseline,Higher A
2422,10/13/00,3/24/13,12.45,F,baseline,Higher A
2424,5/2/02,3/24/13,10.9,F,baseline,GL-2
2447,8/24/00,3/24/13,12.59,M,baseline,Grand Level
2461,4/6/01,3/24/13,11.97,M,baseline,Higher B
