subnum, condition, task, order, trial,interference,date,max,exponent,threshold,correct,rt1,rt2,r,addends,sum,digits,int_score,trial_time
2,baseline,baseline,3,1,0,20130708T171657,3,1.20E+00,1,1,3.07,3.6,9,1,9,2  3  4,-1,6.80E+00
2,baseline,baseline,3,2,0,20130708T171657,3,1.20E+00,1,1,2.62,3.18,7,1,7,4  2  1,-1,5.91E+00
2,baseline,baseline,3,3,0,20130708T171657,3,1.20E+00,1,0,3.48,3.98,7,1,8,3  1  4,-1,6.85E+00
2,baseline,baseline,3,4,0,20130708T171657,3,1.20E+00,1,1,2.53,2.96,9,1,9,3  3  3,-1,5.76E+00
2,baseline,baseline,3,5,0,20130708T171657,2.30E+00,1.20E+00,2,1,2.19,2.59,4,1,4,1  1  2,-1,5.21E+00
2,baseline,baseline,3,6,0,20130708T171657,3.74E+00,1.20E+00,3,1,2.44,2.88,9,1,9,1  5  3,-1,5.69E+00
2,baseline,baseline,3,7,0,20130708T171657,5.28E+00,1.20E+00,4,1,2.22,2.69,9,1,9,1  6  2,-1,5.35E+00
2,baseline,baseline,3,8,0,20130708T171657,6.90E+00,1.20E+00,5,1,3.13,3.88,11,1,11,2  3  6,-1,6.74E+00
2,baseline,baseline,3,9,0,20130708T171657,8.59E+00,1.20E+00,6,1,4.02,4.76,12,1,12,8  3  1,-1,7.50E+00
2,baseline,baseline,3,10,0,20130708T171657,1.03E+01,1.20E+00,7,1,4.11,4.76,26,1,26,11  10   5,-1,7.85E+00
2,baseline,baseline,3,11,0,20130708T171657,1.21E+01,1.20E+00,8,1,5.94,6.74,28,1,28,11   6  11,-1,9.97E+00
2,baseline,baseline,3,12,0,20130708T171657,1.40E+01,1.20E+00,9,1,1.95,2.68,24,1,24,5  15   4,-1,6.09E+00
2,baseline,baseline,3,13,0,20130708T171657,1.58E+01,1.20E+00,10,1,2.4,3.37,18,1,18,1   1  16,-1,6.23E+00
2,baseline,baseline,3,14,0,20130708T171657,1.78E+01,1.20E+00,11,0,19.06,19.97,32,1,41,19   7  15,-1,2.32E+01
2,baseline,baseline,3,15,0,20130708T171657,1.58E+01,1.20E+00,10,1,6.92,7.75,34,1,34,11   7  16,-1,1.07E+01
2,baseline,baseline,3,16,0,20130708T171657,1.78E+01,1.20E+00,11,1,3.58,4.46,34,1,34,19   1  14,-1,7.45E+00
2,baseline,baseline,3,17,0,20130708T171657,1.97E+01,1.20E+00,12,0,20.6,21.46,43,1,53,19  13  21,-1,2.46E+01
2,baseline,baseline,3,18,0,20130708T171657,1.78E+01,1.20E+00,11,1,10.02,11.33,36,1,36,19   6  11,-1,1.42E+01
2,baseline,baseline,3,19,0,20130708T171657,1.97E+01,1.20E+00,12,0,9.25,10.14,41,1,31,5  21   5,-1,1.32E+01
2,baseline,baseline,3,20,0,20130708T171657,1.78E+01,1.20E+00,11,0,17.15,18.28,49,1,47,13  17  17,-1,2.15E+01
2,baseline,baseline,3,21,0,20130708T171657,1.58E+01,1.20E+00,10,1,6.6,7.55,31,1,31,15   2  14,-1,1.05E+01
2,baseline,baseline,3,22,0,20130708T171657,1.78E+01,1.20E+00,11,1,10.7,11.73,37,1,37,18   3  16,-1,1.47E+01
2,baseline,baseline,3,23,0,20130708T171657,1.97E+01,1.20E+00,12,1,5.37,6.46,41,1,41,15   5  21,-1,9.58E+00
2,baseline,baseline,3,24,0,20130708T171657,2.17E+01,1.20E+00,13,0,11.61,12.62,40,1,50,12  21  17,-1,1.57E+01
2,baseline,baseline,3,25,0,20130708T171657,1.97E+01,1.20E+00,12,0,16.49,17.28,46,1,53,18  19  16,-1,2.04E+01
2,baseline,baseline,3,26,0,20130708T171657,1.78E+01,1.20E+00,11,1,2.9,3.97,26,1,26,1   6  19,-1,6.88E+00
2,baseline,baseline,3,27,0,20130708T171657,1.97E+01,1.20E+00,12,1,2.67,3.57,26,1,26,6  19   1,-1,6.39E+00
2,baseline,baseline,3,28,0,20130708T171657,2.17E+01,1.20E+00,13,1,5.27,6.46,50,1,50,5  23  22,-1,9.50E+00
