subnum,dot,dob,age,gender,abacus_q,finger.counter,male
1,6/23/13,5/13/03,10.11362081,F,,1,0
2,7/8/13,8/20/00,12.88158795,F,,0,0
3,7/9/13,6/5/01,12.09308693,M,no,0,1
4,7/9/13,4/24/01,12.20807666,F,no,0,0
5,7/11/13,4/12/01,12.24640657,M,yes,0,1
6,7/18/13,9/14/00,12.84052019,M,,1,1
7,7/24/13,10/7/00,12.79397673,F,no,1,0
8,7/24/13,2/1/01,12.47364819,M,no,0,1
9,8/1/13,5/13/00,13.2183436,F,no,1,0
10,8/15/13,9/29/00,12.87611225,F,yes,0,0
11,8/19/13,10/12/00,12.85147159,F,no,0,0
12,1/29/14,10/12/01,12.30684932,F,,1,0
13,2/7/14,10/18/01,12.31506849,F,,0,0
14,2/25/14,1/4/02,12.15068493,F,,0,0
15,4/10/14,12/31/01,12.28219178,M,,1,1
16,4/17/14,5/16/01,12.92876712,M,,0,1
18,3/5/15,12/6/02,12.24366872,M,,0,1
19,3/17/15,6/18/02,12.74469541,M,,0,1
20,3/26/15,9/23/02,12.50376454,M,,0,1
21,4/6/15,12/23/02,12.28473648,M,no,0,1
23,4/21/15,6/10/02,12.862423,M,"yes - once at boy scounts, no 5s bead, didn't use",0,1
24,4/23/15,3/22/03,12.08761123,M,,0,1
25,4/23/15,3/26/03,12.07665982,F,,0,0
26,4/23/15,6/27/02,12.82135524,M,familiar with but doesn't use,0,1
27,5/12/15,2/15/03,12.23545517,M,NO,0,1
28,6/9/15,5/26/03,12.03832991,M,no,0,1
29,6/22/15,4/21/03,12.16974675,M,yes but doesn't use,0,1
30,6/23/15,6/1/03,12.06023272,M,no,0,1
32,7/10/15,5/18/03,12.14510609,M,,0,1
33,7/13/15,3/13/03,12.3340178,M,no,0,1
17,2/17/15,5/16/02,12.75838467,M,,1,1
31,7/2/15,3/26/03,12.26830938,F,no,1,0
